date,count
2010-11-01,1
2013-06-01,3
2013-07-01,2
2013-09-01,1
2013-10-01,2
2013-11-01,2
2013-12-01,4
2014-01-01,7
2014-02-01,2
2014-03-01,4
2014-04-01,5
2014-05-01,12
2014-06-01,9
2014-07-01,11
2014-08-01,10
2014-09-01,8
2014-10-01,11
2014-11-01,10
2014-12-01,14
2015-01-01,10
2015-02-01,21
2015-03-01,17
2015-04-01,17
2015-05-01,21
2015-06-01,21
2015-07-01,27
2015-08-01,20
2015-09-01,37
2015-10-01,41
2015-11-01,39
2015-12-01,18
2016-01-01,56
2016-02-01,49
2016-03-01,52
2016-04-01,55
2016-05-01,45
2016-06-01,52
2016-07-01,67
2016-08-01,77
2016-09-01,74
2016-10-01,77
2016-11-01,79
2016-12-01,64
2017-01-01,108
2017-02-01,91
2017-03-01,144
2017-04-01,111
2017-05-01,138
2017-06-01,142
2017-07-01,179
2017-08-01,169
2017-09-01,159
2017-10-01,173
2017-11-01,182
2017-12-01,164
2018-01-01,219
2018-02-01,233
2018-03-01,256
2018-04-01,271
2018-05-01,284
2018-06-01,285
2018-07-01,317
2018-08-01,379
2018-09-01,387
2018-10-01,364
2018-11-01,351
2018-12-01,335
2019-01-01,431
2019-02-01,381
2019-03-01,454
2019-04-01,466
2019-05-01,415
2019-06-01,407
2019-07-01,497
2019-08-01,404
2019-09-01,463
2019-10-01,457
2019-11-01,494
2019-12-01,458
2020-01-01,471
2020-02-01,466
2020-03-01,4
